PatientID,LastName,FirstName,City,ZipCode,BirthDate,Phone,Center,Balance,DaysLate
1054,Santana,Clay,Woodway,76712,7/14/1939,254-352-1917,30,5158.34,60
1917,Chambers,Lizeth,Woodway,76712,3/10/1943,903-505-6161,30,0,0
1775,Whitney,Rafael,Hewitt,76643,7/8/1953,254-841-9889,30,628.14,30
1507,Underwood,Franco,Hewitt,76643,8/25/1960,254-945-5677,30,0,0
1053,Roberson,Skylar,Waco,76702,9/20/2003,254-945-7251,20,0,0
1944,Washington,Rowan,Lorena,76630,9/17/1988,254-901-9401,30,0,0
1900,Conrad,Abel,Bellmead,76715,9/16/1946,614-646-4486,10,0,0
1238,Glass,Jayden,Woodway,76712,4/6/1967,254-944-6814,30,0,0
1685,Walton,Dominique,Waco,76702,6/20/1998,254-293-1911,10,2632.71,30
1065,Molina,Ariel,Robinson,76706,2/1/1951,623-378-9220,30,1431.28,0
1701,Brady,Agustin,Lorena,76630,2/4/1989,254-881-2539,30,0,0
1835,Stark,Mallory,Robinson,76706,6/20/1948,254-724-9581,30,7678.95,60
1924,Morton,Lena,Waco,76702,7/6/1968,254-251-7778,20,0,0
1000,Beasley,Aliyah,Waco,76702,11/6/1953,254-950-6824,20,0,0
1236,Dyer,Sadie,Waco,76702,1/1/1958,254-201-9239,10,3667.2,0
1778,Bates,Arturo,Lorena,76630,10/23/1984,515-895-9238,30,0,0
1686,Mullins,Kaitlyn,Waco,76702,5/21/1961,254-780-5514,20,0,0
1274,Trujillo,Jocelynn,Waco,76702,10/12/1977,254-470-2590,10,3603.98,30
1110,Barnes,Ari,Waco,76702,4/20/1984,254-931-6765,10,6335.97,30
1376,McCarthy,Elle,Moody,76557,9/12/1960,913-259-9546,30,0,0
1623,Hansen,Caitlyn,Waco,76702,1/9/1957,630-528-4615,20,0,0
1209,Bolton,Sanaa,Robinson,76706,9/2/1989,254-243-5972,30,674.33,60
1196,Shepherd,Nicole,Hewitt,76643,8/7/1969,254-564-9411,30,7020.35,30
1131,Cabrera,Kolby,Waco,76702,5/19/1945,757-873-3752,20,0,0
1458,Faulkner,Cason,Lorena,76630,11/21/1943,254-903-1103,30,0,0
1461,Rollins,Marisa,Lorena,76630,12/13/1939,254-886-9412,30,9097.74,60
1285,Rivers,Saige,Woodway,76712,6/24/1946,402-529-4405,30,3545.37,60
1833,Warner,Deon,Waco,76702,2/10/1982,254-711-3418,20,0,0
1230,Hart,Megan,Woodway,76712,7/9/1975,254-478-3801,30,0,0
1027,Summers,Jaylyn,Woodway,76712,1/16/1965,254-506-5851,30,0,0
1739,Carr,Eva,Robinson,76706,10/16/1974,254-531-6999,30,0,0
1615,Ellison,Jayda,Lorena,76630,9/4/1968,254-682-9481,30,2879.31,0
1271,Lambert,Kaitlynn,Robinson,76706,8/23/1972,254-290-5860,30,0,0
1251,McKee,Amiyah,Moody,76557,2/6/1970,254-253-6914,30,3743.22,60
1549,Santiago,Mekhi,Woodway,76712,10/12/1970,254-303-7467,30,0,0
1626,Solis,Mia,Waco,76702,12/26/1960,254-324-9908,20,11.08,0
1747,Vinson,Salvatore,Woodway,76712,11/14/1955,254-395-7194,30,0,0
1166,James,Emmy,Robinson,76706,7/2/1985,254-825-6246,30,0,0
1497,Kim,Nina,Robinson,76706,8/22/1982,254-272-5221,30,0,0
1862,Park,Nehemiah,Waco,76702,8/6/1980,254-396-3278,20,0,0
1811,Benton,Scarlet,Waco,76702,12/4/1988,254-363-2000,20,3519.66,30
1314,Ayala,Braedon,Waco,76702,8/7/2000,254-986-1956,20,0,0
